NO,WL
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
1,1538.877
2,1538.852
3,1538.853
4,1538.842
5,1538.83
6,1538.819
7,1538.812
8,1538.806
9,1538.795
10,1538.782
11,1538.774
12,1538.768
13,1538.766
14,1538.76
15,1538.756
16,1538.755
17,1538.752
18,1538.75
19,1538.746
20,1538.747
21,1538.748
22,1538.742
23,1538.742
24,1538.742
25,1538.742
26,1538.745
27,1538.748
28,1538.748
29,1538.751
30,1538.752
31,1538.754
32,1538.759
33,1538.766
34,1538.768
35,1538.772
36,1538.781
37,1538.787
38,1538.795
39,1538.808
40,1538.819
41,1538.831
42,1538.854
43,1538.878
44,1538.922
45,1538.932
46,1538.964
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,1538.877
106,1538.852
107,1538.853
108,1538.842
109,1538.83
110,1538.819
111,1538.812
112,1538.806
113,1538.795
114,1538.782
115,1538.774
116,1538.768
117,1538.766
118,1538.76
119,1538.756
120,1538.755
121,1538.752
122,1538.75
123,1538.746
124,1538.747
125,1538.748
126,1538.746
127,1538.746
128,1538.746
129,1538.746
130,1538.745
131,1538.748
132,1538.748
133,1538.751
134,1538.752
135,1538.754
136,1538.759
137,1538.766
138,1538.768
139,1538.772
140,1538.781
141,1538.787
142,1538.795
143,1538.808
144,1538.819
145,1538.831
146,1538.854
147,1538.878
148,1538.922
149,1538.932
150,1538.964
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
